"Date","Open","High","Low","Close","Volume"
"2024-09-06",277.7699890136719,280.1700134277344,277.42999267578125,279.3699951171875,3363074
"2024-09-05",281,281.5,277.4100036621094,278.6199951171875,2758277
"2024-09-04",278.7099914550781,281.6199951171875,278.7099914550781,280.489990234375,2208952
"2024-09-03",276.3699951171875,282.04998779296875,276.3699951171875,278.5400085449219,2612504
"2024-08-30",275.0299987792969,276.989990234375,274.2699890136719,276.3699951171875,2667857
"2024-08-29",270.9800109863281,275.9800109863281,270.510009765625,274.32000732421875,2050875
"2024-08-28",270.9100036621094,271.95001220703125,267.6700134277344,269.19000244140625,2378708
"2024-08-27",268.5199890136719,270.95001220703125,267.9100036621094,270.7200012207031,3857638
"2024-08-26",267.7200012207031,270.32000732421875,267.7200012207031,268.2099914550781,1150666
"2024-08-23",268.70001220703125,269.05999755859375,265.3399963378906,267.44000244140625,1158952
"2024-08-22",268.94000244140625,269.2799987792969,266.57000732421875,267.94000244140625,1412226
"2024-08-21",268.55999755859375,269.20001220703125,267.3900146484375,268.20001220703125,3040349
"2024-08-20",267,268.0400085449219,265.79998779296875,268.0400085449219,3067676
"2024-08-19",267.4200134277344,268.2200012207031,265.2300109863281,266.4700012207031,2910092
"2024-08-16",266.6700134277344,268.44000244140625,265.489990234375,267.3800048828125,2116584
"2024-08-15",262.8399963378906,267.3599853515625,262.8399963378906,266.79998779296875,3409334
"2024-08-14",260.8699951171875,261.5,258.739990234375,261.1400146484375,4375469
"2024-08-13",260.1300048828125,261.6099853515625,259.2699890136719,260.1300048828125,4196395
"2024-08-12",260.5,261.55999755859375,259.239990234375,259.8900146484375,8036563
"2024-08-09",259.1700134277344,261.5,259.1600036621094,259.760009765625,3422583
"2024-08-08",258.1300048828125,260.42999267578125,257.95001220703125,259.8299865722656,4083206
"2024-08-07",259.82000732421875,262,256.32000732421875,256.5199890136719,6852849
"2024-08-06",256.5,260.4599914550781,255.77999877929688,258.260009765625,10224071
"2024-08-05",261.45001220703125,262.8800048828125,254.50999450683594,256.44000244140625,3104424
"2024-08-02",263.8299865722656,267.8500061035156,262.94000244140625,266.5799865722656,2303608
"2024-08-01",266.2799987792969,267,264.17999267578125,265.92999267578125,2665744
"2024-07-31",264.5400085449219,266.3599853515625,264.3800048828125,265.6700134277344,2186388
"2024-07-30",262.8900146484375,264.2900085449219,261.0400085449219,263.1000061035156,1790541
"2024-07-29",260.32000732421875,262.70001220703125,258.5799865722656,261.6000061035156,2038551
"2024-07-26",255.58999633789062,261.20001220703125,255.58999633789062,259.4599914550781,2292620
"2024-07-25",255.38999938964844,258.2200012207031,252.74000549316406,253.74000549316406,2834048
"2024-07-24",256,257.0799865722656,253.16000366210938,254.1699981689453,3919475
"2024-07-23",267.5299987792969,267.5799865722656,263.8900146484375,264.7900085449219,3283440
"2024-07-22",266.3500061035156,268.260009765625,265.0199890136719,267.7099914550781,1734156
"2024-07-19",270.95001220703125,270.95001220703125,264.30999755859375,265.4599914550781,2193790
"2024-07-18",271.8900146484375,273.54998779296875,268.5799865722656,269.1499938964844,1842594
"2024-07-17",268.44000244140625,272.9100036621094,268.25,272.70001220703125,2058697
"2024-07-16",268.3399963378906,270.19000244140625,267.4100036621094,269.25,3261070
"2024-07-15",265.7200012207031,269.20001220703125,265.32000732421875,268.45001220703125,2883624
"2024-07-12",264.3399963378906,267.3800048828125,263.7099914550781,265.739990234375,2509753
"2024-07-11",262.1300048828125,263.6300048828125,260.7799987792969,262.54998779296875,3188845
"2024-07-10",258.6199951171875,263.4800109863281,258.5199890136719,263,3486134
"2024-07-09",267,267.54998779296875,263.9200134277344,265.44000244140625,2384484
"2024-07-08",270.25,271.44000244140625,265.9700012207031,266.3999938964844,4585606
"2024-07-05",269,270.5,268.239990234375,270.3599853515625,4587264
"2024-07-03",268.54998779296875,269.739990234375,268.20001220703125,268.989990234375,2259425
"2024-07-02",263.239990234375,268.2300109863281,262.5,268.2300109863281,4148324
"2024-07-01",263.29998779296875,265.7300109863281,261.30999755859375,263.239990234375,3579627
"2024-06-28",267.20001220703125,268.57000732421875,261.25,262.4700012207031,6130154
"2024-06-27",268.510009765625,270.57000732421875,266.5,266.5899963378906,4079395
"2024-06-26",272.9100036621094,274.44000244140625,272,273.6000061035156,4488928
"2024-06-25",276.8500061035156,277.8500061035156,273.5299987792969,273.5299987792969,8974604
"2024-06-24",275.32000732421875,280.3699951171875,275.32000732421875,276.29998779296875,8117009
"2024-06-21",277.1700134277344,277.42999267578125,274.5799865722656,275.2200012207031,8806011
"2024-06-20",273.19000244140625,278.010009765625,273.19000244140625,276.82000732421875,5970648
"2024-06-18",271.29998779296875,273.8999938964844,271.29998779296875,273.6199951171875,3934744
"2024-06-17",269,271.8299865722656,269,271.1700134277344,3902738
"2024-06-14",270.1000061035156,271.54998779296875,269.29998779296875,270.6600036621094,4248472
"2024-06-13",270.32000732421875,271.8399963378906,269.3500061035156,271.19000244140625,3348801
"2024-06-12",276.7699890136719,277.510009765625,269.8999938964844,270.32000732421875,2786331
"2024-06-11",274.5400085449219,274.79998779296875,272.2300109863281,274.6700134277344,2561707
"2024-06-10",278.1400146484375,278.5,273.3800048828125,275.0400085449219,1817632
"2024-06-07",277.7099914550781,280.29998779296875,276.8900146484375,278.6700134277344,1601845
"2024-06-06",274.79998779296875,277.1499938964844,274.0799865722656,277.0400085449219,4862378
"2024-06-05",273.6300048828125,274.8800048828125,272.0199890136719,274.5,2920367
"2024-06-04",269.6300048828125,272.989990234375,269.4150085449219,272.4200134277344,1541514
"2024-06-03",273.0899963378906,273.0899963378906,268.05999755859375,270.3800048828125,1552549
"2024-05-31",270.8299865722656,272.760009765625,269.010009765625,272.4599914550781,3262857
"2024-05-30",268.5400085449219,271.6400146484375,268.3999938964844,271.29998779296875,1810856
"2024-05-29",269,271.1199951171875,268.3699951171875,268.8599853515625,2554707
"2024-05-28",274.2300109863281,274.3500061035156,270.25,270.9800109863281,2495463
"2024-05-24",275.010009765625,275.20001220703125,273.3500061035156,274.489990234375,1767020
"2024-05-23",275.239990234375,277.1000061035156,273.04998779296875,274.2300109863281,2344402
"2024-05-22",275.5299987792969,278.07000732421875,275.1499938964844,275.5799865722656,1662844
"2024-05-21",278,278.29998779296875,274.8800048828125,275.95001220703125,2772738
"2024-05-20",279.489990234375,280.2699890136719,278.17999267578125,278.5400085449219,2814725
"2024-05-17",280.04998779296875,280.9049987792969,278.1300048828125,280.1000061035156,2872416
"2024-05-16",281.739990234375,282.3399963378906,279.260009765625,279.8399963378906,6096746
"2024-05-15",277.1499938964844,281.7099914550781,277.07000732421875,281.5,5681723
"2024-05-14",279.44000244140625,279.4700012207031,274.2799987792969,277.739990234375,6260066
"2024-05-13",281.4599914550781,282.1000061035156,279.1000061035156,279.3900146484375,6154695
"2024-05-10",279.79998779296875,281.0299987792969,279.25,280.739990234375,5475365
"2024-05-09",276.44000244140625,278.7900085449219,276.44000244140625,278.5400085449219,5622166
"2024-05-08",277.79998779296875,278.4599914550781,274.9200134277344,277.19000244140625,6055682
"2024-05-07",273.7200012207031,277.8399963378906,272.8800048828125,276.4599914550781,2639646
"2024-05-06",269.6499938964844,272.75,269.6499938964844,272.6700134277344,1317868
"2024-05-03",269,269.45001220703125,266.510009765625,268.489990234375,1328907
"2024-05-02",269.3500061035156,269.3500061035156,266.6700134277344,267.6099853515625,2215872
"2024-05-01",268.1499938964844,270.9100036621094,266.7200012207031,267.32000732421875,2443456
"2024-04-30",270.5299987792969,271.67999267578125,268.6000061035156,268.6099853515625,2780792
"2024-04-29",272.32000732421875,274.42999267578125,271.2200012207031,271.8399963378906,1980013
"2024-04-26",275.010009765625,276.70001220703125,273.8299865722656,274.5199890136719,4591360
"2024-04-25",273.0799865722656,276.2200012207031,270.5199890136719,275.1600036621094,4589674
"2024-04-24",282.57000732421875,283,274.489990234375,275.0199890136719,3551581
"2024-04-23",273.8599853515625,274.8900146484375,272.739990234375,274.1099853515625,1926009
"2024-04-22",270.7699890136719,273.760009765625,269.3599853515625,272.3299865722656,3601653
"2024-04-19",272,272,268.29998779296875,269.7799987792969,2993042
"2024-04-18",272.57000732421875,273.1499938964844,269.8900146484375,271.3699951171875,4223608
"2024-04-17",273.29998779296875,273.9800109863281,271.5,272.69000244140625,2949828
"2024-04-16",270.75,274,270.25,271.3500061035156,1588789
"2024-04-15",277.8900146484375,277.8999938964844,270.3399963378906,271.2799987792969,3743717
"2024-04-12",275.54998779296875,277,274.07000732421875,275.9599914550781,3810330
"2024-04-11",274,276.4700012207031,272.20001220703125,275.67999267578125,3517442
"2024-04-10",275.4200134277344,276.75,274.1199951171875,274.4800109863281,2081451
"2024-04-09",277.6300048828125,278,273.3599853515625,276.7200012207031,3693706
"2024-04-08",276.1099853515625,277.95001220703125,275.32000732421875,277.760009765625,2097284
"2024-04-05",276.1000061035156,277.94000244140625,275.0299987792969,277.1400146484375,1246411
"2024-04-04",278.2799987792969,279.05999755859375,273.55999755859375,274,1434998
"2024-04-03",279.1499938964844,280.2300109863281,276.5899963378906,276.9599914550781,1298829
"2024-04-02",278,279.32000732421875,277,278.44000244140625,2950862
"2024-04-01",280.3599853515625,280.8299865722656,276.79998779296875,278.2799987792969,1923277
"2024-03-28",278.489990234375,279.79998779296875,277.1199951171875,279.0799865722656,2835758
"2024-03-27",280.25,281.25,277,279.0199890136719,1589342
"2024-03-26",284.1300048828125,284.1300048828125,278.489990234375,280.6000061035156,5337828
"2024-03-25",282.82000732421875,283.260009765625,280.2099914550781,281.2099914550781,4539543
"2024-03-22",290,290.3800048828125,282.8900146484375,283.260009765625,4323110
"2024-03-21",289.75,290.9599914550781,287.95001220703125,290.3699951171875,2213687
"2024-03-20",287.6400146484375,289.8699951171875,286.7200012207031,289.2799987792969,2678927
"2024-03-19",286.6600036621094,288.05999755859375,285.25,287.3500061035156,6595183
"2024-03-18",283.8699951171875,286.2300109863281,283.25,285.04998779296875,4095632
"2024-03-15",283.54998779296875,285.6300048828125,282.6400146484375,283.0400085449219,9845181
"2024-03-14",288.9599914550781,289.0400085449219,284.54998779296875,286.4100036621094,5484511
"2024-03-13",284.6600036621094,286.1000061035156,283.82000732421875,285.1400146484375,5783867
"2024-03-12",281.30999755859375,284.4750061035156,280.2900085449219,283.9200134277344,7988665
"2024-03-11",279.45001220703125,280.7699890136719,277.989990234375,280.55999755859375,4614232
"2024-03-08",279,281.6650085449219,278.8299865722656,280.0400085449219,3929002
"2024-03-07",280.8800048828125,281.1700134277344,276.1600036621094,278.260009765625,5668483
"2024-03-06",280,282,279.30999755859375,280.42999267578125,4535185
"2024-03-05",280.2699890136719,280.989990234375,277.67999267578125,279.3800048828125,6228066
"2024-03-04",282.80999755859375,283,278.1300048828125,280.5299987792969,5920308
"2024-03-01",283.20001220703125,284.9100036621094,282.1099853515625,283.1600036621094,3955728
"2024-02-29",285.5,285.6600036621094,282.17999267578125,282.6400146484375,6633684
"2024-02-28",282.1000061035156,286.1300048828125,282.0849914550781,285.6300048828125,4358820
"2024-02-27",284.1700134277344,284.1700134277344,281.5400085449219,283.1700134277344,4145383
"2024-02-26",283.0400085449219,285.3500061035156,282.6600036621094,284.1499938964844,3856911
"2024-02-23",284.7200012207031,285.95001220703125,283.5,283.6000061035156,5107693
"2024-02-22",279.17999267578125,284.05999755859375,278.9800109863281,283.75,5100191
"2024-02-21",274.6300048828125,276.9700012207031,273.5299987792969,276.760009765625,4771105
"2024-02-20",274.57000732421875,276.8399963378906,273.3399963378906,275.1499938964844,6157178
"2024-02-16",280.9599914550781,281.1199951171875,277.8699951171875,278.55999755859375,6630744
"2024-02-15",277.6549987792969,281.1199951171875,277.55999755859375,280.9800109863281,4834758
"2024-02-14",276.4700012207031,277.6400146484375,274.7099914550781,277.55999755859375,4218350
"2024-02-13",273.75,278,272.76300048828125,275.80999755859375,5493833
"2024-02-12",276.42999267578125,276.6700134277344,274.239990234375,275.07000732421875,3676232
"2024-02-09",275,277.17999267578125,274.0899963378906,276.42999267578125,4618283
"2024-02-08",279.5400085449219,279.6600036621094,275.2799987792969,275.7799987792969,5833409
"2024-02-07",279.3800048828125,279.5400085449219,277.05999755859375,279.3900146484375,4785902
"2024-02-06",274.79998779296875,276.8800048828125,274.0299987792969,276.760009765625,4400250
"2024-02-05",277.3999938964844,278,275.125,275.5799865722656,4899140
"2024-02-02",277.6099853515625,278.5,275.67999267578125,277.17999267578125,4848891
"2024-02-01",273.3900146484375,277.19000244140625,273.3599853515625,277.04998779296875,7064976
"2024-01-31",277.1199951171875,279.989990234375,273.17999267578125,273.260009765625,6139312
"2024-01-30",274.5899963378906,278.6400146484375,274.19000244140625,277.1499938964844,6548999
"2024-01-29",266.9700012207031,275.07000732421875,266.7099914550781,273.6600036621094,6574480
